num_movie_id,movie_id
367,leprechaun+origins+2014
368,night+across+the+street+2012
369,leafie_+a+hen+into+the+wild+2011
370,anchors+aweigh+1945
371,the+philadelphia+story+1940
372,the+mouse+on+the+moon+1963
373,its+kind+of+a+funny+story+2010
374,the+extraordinary+adventures+of+mr.+west+in+the+land+of+the+bolsheviks+1924
375,lights+in+the+dusk+2006
376,enron+the+smartest+guys+in+the+room+2005
377,the+funeral+1984
378,the+rose+1979
379,age+of+heroes+2011
380,stalingrad+1993
381,snow+white+and+the+seven+dwarfs+1937
382,harry+potter+and+the+deathly+hallows+part+1+2010
383,you+dont+mess+with+the+zohan+2008
384,iris+2001
385,superman+1978
386,wintersleepers+1997
387,funky+forest+the+first+contact+2005
388,the+gift+2000
389,return+to+never+land+2002
390,true+romance+1993
391,fast+lane+2010
392,street+kings+2008
393,the+fitzgerald+family+christmas+2012
394,shrek+2+2004
395,dona+flor+and+her+two+husbands+1976
396,ai+weiwei+never+sorry+2012
397,princess+mononoke+1997
398,the+loved+ones+2009
399,the+chaser+2008
400,the+passion+of+joan+of+arc+1928
401,and+now...+ladies+and+gentlemen...+2002
402,fresh+1994
403,a+patch+of+blue+1965
404,haemoo+2014
405,raze+2013
406,night+crossing+1982
407,don+juan+demarco+1994
408,little+white+lies+2010
409,brothers+keeper+1992
410,west+side+story+1961
411,the+strange+love+of+martha+ivers+1946
412,the+green+mile+1999
413,the+assault+1986
414,boiler+room+2000
415,deadly+surveillance+1991
416,pearl+jam+twenty+2011
417,twentieth+century+1934
418,the+asphalt+jungle+1950
419,land+of+the+pharaohs+1955
420,the+curse+of+the+oily+maniac+1956
421,butterfly+1982
422,total+recall+1990
423,look+whos+talking+1989
424,one+small+hitch+2013
425,blaze+1989
426,the+devils+backbone+2001
427,bionicle+the+legend+reborn+2009
428,forever+strong+2008
429,black+coal_+thin+ice+2014
430,sanshiro+sugata+1943
431,reign+over+me+2007
432,about+schmidt+2002
433,internal+affairs+1990
434,fading+gigolo+2013
435,flame+of+barbary+coast+1945
436,asterix+and+the+big+fight+1989
437,neon+genesis+evangelion+death+and+rebirth+1997
438,the+kings+of+mykonos+2010
439,moon+2009
440,kisses+2008
441,fingers+1978
442,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003
443,the+good_+the+bad+and+the+ugly+1966
444,imaginary+heroes+2004
445,blue+collar+comedy+tour+the+movie+2003
446,j.j.+cale+-+to+tulsa+and+back+on+tour+with+j.j.+cale+2006
447,california+split+1974
448,disco+godfather+1979
449,the+karate+kid+1984
450,between+sheets+2008
451,bringing+up+baby+1938
452,close+encounters+of+the+third+kind+1977
453,delusion+1991
454,the+phenix+city+story+1955
455,carrie+1952
456,popeye+1980
457,the+groundstar+conspiracy+1972
458,the+supper+1992
459,the+paradine+case+1947
460,the+girl+who+kicked+the+hornets+nest+2009
461,inglourious+basterds+2009
462,murder+she+said+1961
463,frankenweenie+2012
464,grandmas+boy+2006
465,milk+2008
466,the+counterfeiters+of+paris+1961
467,the+unsinkable+molly+brown+1964
468,control+2004
469,europa+europa+1990
470,whiplash+2014
471,women+on+the+verge+of+a+nervous+breakdown+1988
472,mysterious+skin+2004
473,the+killers+1964
474,crumb+1994
475,woman+on+the+beach+2006
476,a+bell+for+adano+1945
477,cold+showers+2005
478,were+no+angels+1989
479,i+never+sang+for+my+father+1970
480,the+crazies+2010
481,casino+royale+2006
482,children+of+the+corn+genesis+2011
483,rurouni+kenshin+2012
484,finding+nemo+2003
485,master+and+commander+the+far+side+of+the+world+2003
486,iron+man+3+2013
487,cyborg+she+2008
488,were+the+world+mine+2008
489,mean+streets+1973
490,spider-man+3+2007
491,stille+nacht+2004
492,el+cid+1961
493,cabiria+1914
